State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
NY,1976,25.0,0.0,0.0,19.0,"{'Severe Ice Storm': 7, 'Flood': 9, 'Hurricane': 3}"
SD,1976,237.0,0.0,0.0,66.0,"{'Drought': 62, 'Flood': 4}"
GA,1977,39.0,0.0,0.0,151.0,"{'Freezing': 6, 'Drought': 144, 'Flood': 1}"
KS,1977,50.0,0.0,0.0,10.0,{'Flood': 10}
KY,1977,164.0,0.0,0.0,15.0,{'Flood': 15}
MO,1977,25.0,0.0,0.0,13.0,"{'Tornado': 7, 'Flood': 6}"
PA,1977,116.0,0.0,200000.0,29.0,"{'Snowstorm': 21, 'Flood': 8}"
CA,1978,144.0,0.0,0.0,16.0,"{'Flood': 15, 'Fire': 1}"
KY,1978,164.0,100.0,0.0,37.0,{'Flood': 37}
TX,1978,25.0,0.0,0.0,8.0,{'Flood': 8}
NY,1979,7.0,50.0,13000.0,,
OK,1979,48.0,110.0,550000.0,6.0,{'Tornado': 6}
PA,1979,0.0,0.0,0.0,,
TN,1979,0.0,0.0,0.0,14.0,{'Severe Storm': 14}
TX,1979,48.0,110.0,550000.0,26.0,"{'Tornado': 5, 'Severe Storm': 7, 'Flood': 14}"
AZ,1980,0.0,0.0,0.0,5.0,{'Flood': 5}
CA,1980,36.0,0.0,350000.0,16.0,"{'Coastal Storm': 3, 'Flood': 9, 'Fire': 4}"
KS,1980,1260.0,0.0,2000000.0,,
LA,1980,0.0,0.0,860000.0,18.0,{'Flood': 18}
MO,1980,1260.0,0.0,2000000.0,1.0,{'Tornado': 1}
NE,1980,5.0,100.0,20000.0,3.0,{'Tornado': 3}
TN,1980,1260.0,0.0,2000000.0,,
TX,1980,0.0,0.0,860000.0,14.0,"{'Hurricane': 12, 'Flood': 2}"
WA,1980,90.0,0.0,860000.0,39.0,{'Volcanic Eruption': 39}
GA,1981,70.0,100.0,0.0,,
IA,1981,0.0,0.0,461000.0,,
MN,1981,0.0,0.0,461000.0,,
MT,1981,29.0,1000.0,0.0,10.0,{'Flood': 10}
NY,1981,26.0,0.0,0.0,,
OK,1981,20.0,0.0,400000.0,6.0,{'Flood': 6}
TX,1981,30.0,0.0,400000.0,10.0,{'Flood': 10}
AR,1982,20.0,0.0,0.0,50.0,"{'Tornado': 12, 'Severe Storm': 38}"
CA,1982,11.0,0.0,75900.0,12.0,"{'Flood': 11, 'Fire': 1}"
CT,1982,11.0,0.0,0.0,8.0,{'Flood': 8}
HI,1982,3.0,0.0,230000.0,3.0,"{'Flood': 1, 'Typhoon': 2}"
MO,1982,20.0,0.0,0.0,17.0,{'Flood': 17}
TX,1982,73.0,0.0,500000.0,2.0,"{'Tornado': 1, 'Flood': 1}"
AZ,1983,10.0,0.0,100000.0,14.0,{'Flood': 14}
CA,1983,24.0,45.0,686000.0,46.0,"{'Coastal Storm': 40, 'Earthquake': 1, 'Flood': 5}"
GA,1983,0.0,0.0,0.0,,
ID,1983,2.0,2.0,15000.0,3.0,{'Earthquake': 3}
OK,1983,56.0,0.0,0.0,19.0,{'Flood': 19}
TX,1983,77.0,0.0,3000000.0,9.0,{'Hurricane': 9}
CA,1984,0.0,0.0,30000.0,,
CO,1984,0.0,0.0,600000.0,15.0,{'Flood': 15}
GA,1984,100.0,0.0,0.0,6.0,{'Tornado': 6}
MS,1984,11.0,0.0,20000.0,6.0,{'Tornado': 6}
MT,1984,328.0,0.0,1000000.0,3.0,{'Fire': 3}
NJ,1984,0.0,0.0,35000.0,8.0,{'Flood': 8}
WI,1984,9.0,57.0,17000.0,5.0,"{'Tornado': 2, 'Flood': 3}"
AR,1985,4.0,0.0,1100000.0,,
FL,1985,21.0,0.0,2600000.0,39.0,"{'Freezing': 20, 'Fire': 4, 'Hurricane': 15}"
GA,1985,5.0,0.0,0.0,,
IA,1985,4.0,0.0,1110000.0,,
IL,1985,11.0,0.0,12100.0,23.0,{'Flood': 23}
IN,1985,11.0,0.0,1112100.0,,
KY,1985,4.0,0.0,1100000.0,,
LA,1985,12.0,0.0,1500000.0,14.0,{'Hurricane': 14}
MI,1985,7.0,0.0,12500.0,21.0,{'Flood': 21}
MO,1985,115.0,500.0,1343700.0,,
MS,1985,12.0,0.0,1500000.0,4.0,{'Hurricane': 4}
NE,1985,0.0,0.0,10000.0,,
NY,1985,111.0,500.0,243700.0,6.0,"{'Flood': 2, 'Snowstorm': 2, 'Hurricane': 2}"
