State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
Oregon,OR,2021,467.0,10.0,31000000.0,15.0,"{'Fire': 7, 'Severe Storm': 8}"
Pennsylvania,PA,2021,108.0,0.0,66400000.0,14.0,{'Hurricane': 14}
South Carolina,SC,2021,13.0,17.0,3800000.0,0.0,0
South Dakota,SD,2021,1.0,0.0,1200000.0,4.0,{'Fire': 4}
Tennessee,TN,2021,369.0,119.0,39800000.0,56.0,"{'Tornado': 35, 'Flood': 5, 'Severe Ice Storm': 14, 'Other': 2}"
Texas,TX,2021,263.0,318.0,39275000.0,514.0,"{'Fire': 4, 'Severe Ice Storm': 510}"
Utah,UT,2021,10.0,25.0,335000.0,12.0,"{'Fire': 7, 'Severe Storm': 5}"
Virginia,VA,2021,113.0,9.0,67850000.0,36.0,"{'Flood': 2, 'Severe Ice Storm': 34}"
Vermont,VT,2021,0.0,0.0,550000.0,18.0,"{'Flood': 3, 'Hurricane': 15}"
Washington,WA,2021,472.0,10.0,30975000.0,50.0,"{'Fire': 31, 'Severe Storm': 19}"
Wisconsin,WI,2021,5.0,0.0,3200000.0,0.0,0
West Virginia,WV,2021,1.0,1.0,150000.0,14.0,"{'Flood': 8, 'Severe Ice Storm': 6}"
Alabama,AL,2022,24.0,115.0,12053000.0,0.0,0
Arkansas,AR,2022,13.0,28.0,6177000.0,0.0,0
Arizona,AZ,2022,136.0,0.0,22000000.0,10.0,"{'Flood': 2, 'Severe Storm': 2, 'Fire': 6}"
California,CA,2022,142.0,19.0,22401000.0,11.0,{'Fire': 11}
Colorado,CO,2022,98.0,138.0,2700000.0,0.0,0
Connecticut,CT,2022,98.0,0.0,2700000.0,0.0,0
Florida,FL,2022,204.0,37.0,106727000.0,272.0,"{'Hurricane': 211, 'Tropical Storm': 56, 'Fire': 5}"
Georgia,GA,2022,109.0,37.0,6770000.0,0.0,0
Iowa,IA,2022,11.0,28.0,4920000.0,26.0,{'Severe Storm': 26}
Idaho,ID,2022,98.0,0.0,2700000.0,6.0,{'Fire': 6}
Illinois,IL,2022,10.0,12.0,3320000.0,2.0,{'Flood': 2}
Indiana,IN,2022,9.0,28.0,3620000.0,0.0,0
Kansas,KS,2022,103.0,6.0,5207000.0,80.0,"{'Snowstorm': 21, 'Fire': 3, 'Severe Storm': 56}"
Kentucky,KY,2022,151.0,28.0,9120000.0,35.0,"{'Flood': 21, 'Severe Storm': 14}"
Louisiana,LA,2022,9.0,115.0,6145000.0,0.0,0
Maryland,MD,2022,111.0,0.0,4045000.0,0.0,0
Michigan,MI,2022,2.0,12.0,2500000.0,0.0,0
Minnesota,MN,2022,8.0,40.0,7124000.0,68.0,"{'Severe Storm': 48, 'Flood': 20}"
Missouri,MO,2022,149.0,12.0,9149000.0,13.0,"{'Flood': 5, 'Severe Storm': 8}"
Mississippi,MS,2022,14.0,115.0,11527000.0,2.0,{'Other': 2}
Montana,MT,2022,0.0,0.0,624000.0,8.0,{'Flood': 8}
North Carolina,NC,2022,260.0,50.0,107524000.0,102.0,{'Hurricane': 102}
North Dakota,ND,2022,0.0,0.0,0.0,41.0,{'Severe Storm': 41}
Nebraska,NE,2022,0.0,138.0,624000.0,51.0,"{'Severe Storm': 47, 'Fire': 4}"
New Hampshire,NH,2022,106.0,0.0,3520000.0,0.0,0
New Jersey,NJ,2022,13.0,0.0,1345000.0,0.0,0
New Mexico,NM,2022,2.0,187.0,155000.0,20.0,{'Fire': 20}
Nevada,NV,2022,136.0,0.0,22000000.0,2.0,{'Fire': 2}
New York,NY,2022,125.0,63.0,3520000.0,15.0,{'Winter Storm': 15}
Ohio,OH,2022,116.0,50.0,7720000.0,0.0,0
Oklahoma,OK,2022,117.0,121.0,11885000.0,10.0,{'Severe Storm': 10}
Oregon,OR,2022,234.0,0.0,24700000.0,4.0,{'Fire': 4}
Pennsylvania,PA,2022,15.0,0.0,3320000.0,0.0,0
South Carolina,SC,2022,3.0,0.0,3200000.0,94.0,{'Hurricane': 94}
South Dakota,SD,2022,98.0,0.0,2700000.0,30.0,{'Severe Storm': 30}
Tennessee,TN,2022,104.0,28.0,6025000.0,23.0,"{'Severe Storm': 8, 'Tornado': 15}"
Texas,TX,2022,213.0,132.0,36309000.0,13.0,{'Fire': 13}
Virginia,VA,2022,108.0,0.0,5049000.0,32.0,{'Severe Storm': 32}
Vermont,VT,2022,98.0,0.0,2700000.0,0.0,0
Washington,WA,2022,105.0,0.0,4525000.0,46.0,"{'Fire': 8, 'Flood': 38}"
Wisconsin,WI,2022,105.0,12.0,6400000.0,0.0,0
West Virginia,WV,2022,103.0,0.0,3900000.0,4.0,"{'Severe Storm': 2, 'Flood': 2}"
Wyoming,WY,2022,0.0,0.0,0.0,0.0,0
Alabama,AL,2023,81.0,121.0,14360000.0,15.0,{'Severe Storm': 15}
Arkansas,AR,2023,60.0,160.0,11780000.0,3.0,"{'Severe Storm': 2, 'Winter Storm': 1}"
Arizona,AZ,2023,14.0,0.0,0.0,2.0,"{'Fire': 1, 'Severe Storm': 1}"
California,CA,2023,35.0,0.0,1250000.0,139.0,"{'Tropical Storm': 1, 'Hurricane': 1, 'Severe Storm': 3, 'Winter Storm': 1, 'Flood': 131, 'Earthquake': 2}"
Colorado,CO,2023,5.0,135.0,0.0,1.0,{'Flood': 1}
Connecticut,CT,2023,0.0,0.0,0.0,0.0,0
Delaware,DE,2023,31.0,0.0,5400000.0,0.0,0
Florida,FL,2023,14.0,0.0,0.0,3.0,"{'Hurricane': 1, 'Tropical Storm': 1, 'Flood': 1}"
Georgia,GA,2023,36.0,121.0,2960000.0,11.0,"{'Hurricane': 1, 'Severe Storm': 10}"
Iowa,IA,2023,31.0,0.0,5400000.0,1.0,{'Flood': 1}
Illinois,IL,2023,31.0,0.0,5400000.0,1.0,{'Severe Storm': 1}
Indiana,IN,2023,31.0,0.0,5400000.0,1.0,{'Severe Storm': 1}
Kansas,KS,2023,50.0,135.0,5400000.0,2.0,"{'Severe Storm': 1, 'Fire': 1}"
Kentucky,KY,2023,45.0,0.0,11400000.0,2.0,"{'Flood': 1, 'Severe Storm': 1}"
Louisiana,LA,2023,43.0,160.0,6380000.0,5.0,"{'Other': 1, 'Fire': 4}"
Michigan,MI,2023,5.0,135.0,0.0,0.0,0
Missouri,MO,2023,36.0,5.0,8200000.0,1.0,{'Severe Storm': 1}
Mississippi,MS,2023,85.0,232.0,13980000.0,6.0,{'Severe Storm': 6}
Nebraska,NE,2023,5.0,135.0,0.0,1.0,{'Fire': 1}
New Jersey,NJ,2023,0.0,0.0,0.0,1.0,{'Severe Storm': 1}
New Mexico,NM,2023,14.0,0.0,0.0,2.0,{'Fire': 2}
Nevada,NV,2023,3.0,0.0,250000.0,1.0,{'Flood': 1}
New York,NY,2023,0.0,0.0,0.0,7.0,"{'Severe Storm': 1, 'Snowstorm': 6}"
Ohio,OH,2023,36.0,135.0,5400000.0,0.0,0
Oklahoma,OK,2023,74.0,160.0,11780000.0,7.0,"{'Severe Storm': 3, 'Tornado': 1, 'Fire': 3}"
Pennsylvania,PA,2023,31.0,0.0,5400000.0,0.0,0
Tennessee,TN,2023,80.0,97.0,13980000.0,17.0,"{'Severe Storm': 5, 'Winter Storm': 12}"
Texas,TX,2023,46.0,172.0,14780000.0,1.0,{'Winter Storm': 1}
Washington,WA,2023,2.0,1.0,0.0,17.0,"{'Fire': 7, 'Severe Storm': 10}"
Wyoming,WY,2023,5.0,135.0,0.0,1.0,{'Flood': 1}
Alaska,AK,2019,0.0,0.0,0.0,10.0,"{'Fire': 6, 'Earthquake': 4}"
Arizona,AZ,2019,0.0,0.0,0.0,4.0,"{'Fire': 2, 'Severe Storm': 2}"
Guam,GU,2019,0.0,0.0,0.0,2.0,{'Typhoon': 2}
Hawaii,HI,2019,0.0,0.0,0.0,2.0,{'Fire': 2}
Idaho,ID,2019,0.0,0.0,0.0,7.0,{'Flood': 7}
Kentucky,KY,2019,0.0,0.0,0.0,62.0,{'Severe Storm': 62}
Northern Mariana Islands,MP,2019,0.0,0.0,0.0,10.0,{'Typhoon': 10}
Montana,MT,2019,0.0,0.0,0.0,11.0,"{'Fire': 2, 'Flood': 9}"
New Hampshire,NH,2019,0.0,0.0,0.0,2.0,{'Severe Storm': 2}
New Mexico,NM,2019,0.0,0.0,0.0,2.0,{'Fire': 2}
Nevada,NV,2019,0.0,0.0,0.0,6.0,{'Fire': 6}
New York,NY,2019,0.0,0.0,0.0,19.0,{'Severe Storm': 19}
Oregon,OR,2019,0.0,0.0,0.0,15.0,"{'Fire': 2, 'Flood': 7, 'Severe Storm': 6}"
Puerto Rico,PR,2019,0.0,0.0,0.0,79.0,{'Severe Storm': 79}
Utah,UT,2019,0.0,0.0,0.0,2.0,{'Fire': 2}
Virgin Islands,VI,2019,0.0,0.0,0.0,3.0,{'Hurricane': 3}
Vermont,VT,2019,0.0,0.0,0.0,7.0,{'Flood': 7}
0,Virgin Islands of the U.S.,2019,0.0,0.0,0.0,1.0,{'Hurricane': 1}
Arizona,AZ,2020,0.0,0.0,0.0,16.0,{'Fire': 16}
California,CA,2020,0.0,0.0,0.0,86.0,{'Fire': 86}
Hawaii,HI,2020,0.0,0.0,0.0,7.0,"{'Hurricane': 5, 'Severe Storm': 2}"
Montana,MT,2020,0.0,0.0,0.0,14.0,{'Fire': 14}
North Dakota,ND,2020,0.0,0.0,0.0,47.0,"{'Severe Storm': 7, 'Flood': 40}"
Nevada,NV,2020,0.0,0.0,0.0,12.0,{'Fire': 12}
Puerto Rico,PR,2020,0.0,0.0,0.0,279.0,"{'Flood': 2, 'Hurricane': 163, 'Earthquake': 114}"
Utah,UT,2020,0.0,0.0,0.0,11.0,"{'Fire': 8, 'Earthquake': 3}"
Virgin Islands,VI,2020,0.0,0.0,0.0,3.0,{'Hurricane': 3}
Vermont,VT,2020,0.0,0.0,0.0,9.0,{'Severe Storm': 9}
0,Virgin Islands of the U.S.,2020,0.0,0.0,0.0,1.0,{'Hurricane': 1}
Wyoming,WY,2020,0.0,0.0,0.0,5.0,{'Fire': 5}
Alaska,AK,2021,0.0,0.0,0.0,6.0,{'Mud/Landslide': 6}
District of Columbia,DC,2021,0.0,0.0,0.0,2.0,{'Other': 2}
New Hampshire,NH,2021,0.0,0.0,0.0,5.0,"{'Flood': 3, 'Severe Storm': 2}"
Rhode Island,RI,2021,0.0,0.0,0.0,7.0,{'Hurricane': 7}
Alaska,AK,2022,0.0,0.0,0.0,23.0,"{'Severe Storm': 14, 'Flood': 4, 'Mud/Landslide': 2, 'Fire': 3}"
American Samoa,AS,2022,0.0,0.0,0.0,2.0,{'Severe Storm': 2}
Hawaii,HI,2022,0.0,0.0,0.0,3.0,{'Severe Storm': 3}
Massachusetts,MA,2022,0.0,0.0,0.0,6.0,{'Snowstorm': 6}
Maine,ME,2022,0.0,0.0,0.0,4.0,{'Coastal Storm': 4}
Puerto Rico,PR,2022,0.0,0.0,0.0,164.0,"{'Hurricane': 158, 'Flood': 6}"
Rhode Island,RI,2022,0.0,0.0,0.0,7.0,{'Snowstorm': 7}
Virgin Islands,VI,2022,0.0,0.0,0.0,1.0,{'Other': 1}
0,Virgin Islands of the U.S.,2022,0.0,0.0,0.0,1.0,{'Other': 1}
Alaska,AK,2023,0.0,0.0,0.0,2.0,"{'Flood': 1, 'Fire': 1}"
Guam,GU,2023,0.0,0.0,0.0,3.0,"{'Tropical Storm': 2, 'Hurricane': 1}"
Hawaii,HI,2023,0.0,0.0,0.0,6.0,{'Fire': 6}
Massachusetts,MA,2023,0.0,0.0,0.0,1.0,{'Hurricane': 1}
Maine,ME,2023,0.0,0.0,0.0,11.0,"{'Hurricane': 1, 'Flood': 3, 'Severe Storm': 7}"
Minnesota,MN,2023,0.0,0.0,0.0,1.0,{'Flood': 1}
Northern Mariana Islands,MP,2023,0.0,0.0,0.0,3.0,{'Tropical Storm': 3}
Montana,MT,2023,0.0,0.0,0.0,3.0,"{'Flood': 2, 'Fire': 1}"
North Dakota,ND,2023,0.0,0.0,0.0,9.0,"{'Flood': 1, 'Snowstorm': 8}"
New Hampshire,NH,2023,0.0,0.0,0.0,6.0,"{'Flood': 1, 'Severe Storm': 5}"
Oregon,OR,2023,0.0,0.0,0.0,5.0,"{'Mud/Landslide': 1, 'Fire': 4}"
Rhode Island,RI,2023,0.0,0.0,0.0,1.0,{'Fire': 1}
South Carolina,SC,2023,0.0,0.0,0.0,1.0,{'Hurricane': 1}
South Dakota,SD,2023,0.0,0.0,0.0,23.0,"{'Flood': 1, 'Winter Storm': 22}"
Vermont,VT,2023,0.0,0.0,0.0,12.0,"{'Flood': 3, 'Severe Storm': 9}"
