State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Risk Level
Arizona,AZ,2023,14.0,0.0,0.0,2.0,
California,CA,2023,35.0,0.0,1250000.0,139.0,
Colorado,CO,2023,5.0,135.0,0.0,1.0,
Connecticut,CT,2023,0.0,0.0,0.0,0.0,
Delaware,DE,2023,31.0,0.0,5400000.0,0.0,
Florida,FL,2023,14.0,0.0,0.0,3.0,
Georgia,GA,2023,36.0,121.0,2960000.0,11.0,
Iowa,IA,2023,31.0,0.0,5400000.0,1.0,
Illinois,IL,2023,31.0,0.0,5400000.0,1.0,
Indiana,IN,2023,31.0,0.0,5400000.0,1.0,
Kansas,KS,2023,50.0,135.0,5400000.0,2.0,
Kentucky,KY,2023,45.0,0.0,11400000.0,2.0,
Louisiana,LA,2023,43.0,160.0,6380000.0,5.0,
Michigan,MI,2023,5.0,135.0,0.0,0.0,
Missouri,MO,2023,36.0,5.0,8200000.0,1.0,
Mississippi,MS,2023,85.0,232.0,13980000.0,6.0,
Nebraska,NE,2023,5.0,135.0,0.0,1.0,
New Jersey,NJ,2023,0.0,0.0,0.0,1.0,
New Mexico,NM,2023,14.0,0.0,0.0,2.0,
Nevada,NV,2023,3.0,0.0,250000.0,1.0,
New York,NY,2023,0.0,0.0,0.0,7.0,
Ohio,OH,2023,36.0,135.0,5400000.0,0.0,
Oklahoma,OK,2023,74.0,160.0,11780000.0,7.0,
Pennsylvania,PA,2023,31.0,0.0,5400000.0,0.0,
Tennessee,TN,2023,80.0,97.0,13980000.0,17.0,
Texas,TX,2023,46.0,172.0,14780000.0,1.0,
Washington,WA,2023,2.0,1.0,0.0,17.0,
Wyoming,WY,2023,5.0,135.0,0.0,1.0,
Alaska,AK,2019,0.0,0.0,0.0,10.0,
Arizona,AZ,2019,0.0,0.0,0.0,4.0,
Guam,GU,2019,0.0,0.0,0.0,2.0,
Hawaii,HI,2019,0.0,0.0,0.0,2.0,
Idaho,ID,2019,0.0,0.0,0.0,7.0,
Kentucky,KY,2019,0.0,0.0,0.0,62.0,
Northern Mariana Islands,MP,2019,0.0,0.0,0.0,10.0,
Montana,MT,2019,0.0,0.0,0.0,11.0,
New Hampshire,NH,2019,0.0,0.0,0.0,2.0,
